,Recation_time,Mn,Mw,pdi,Dpn,Recation_time_round,add_time,Temperature,mode
6062,6120.02,3999.51,7407.74,1.85216,38.4014,6120,1.7,383.15,1
6780,6839.74,4438.64,7567.16,1.70484,42.6177,6840,1.7,383.15,1
7499,7560.36,4834.17,7759.66,1.60517,46.4154,7560,1.7,383.15,1
8217,8279.93,5191.27,7961.09,1.53355,49.8441,8280,1.7,383.15,1
8934,8998.58,5520.06,8169.23,1.47992,53.0011,8999,1.7,383.15,1
5332,5399.69,4443.6,8357.4,1.88077,42.6654,5400,2.1,383.15,1
6050,6119.69,4478.78,8426.01,1.88132,43.0032,6120,2.1,383.15,1
6769,6840.35,4511.55,8489.78,1.88179,43.3178,6840,2.1,383.15,1
7487,7559.94,4532.6,8539.35,1.88398,43.5199,7560,2.1,383.15,1
8206,8280.44,4936.87,8661.05,1.75436,47.4016,8280,2.1,383.15,1
8923,8999.02,5299.85,8811.77,1.66265,50.8867,8999,2.1,383.15,1
5316,5399.97,4938.73,9366.9,1.89662,47.4194,5400,2.5,383.15,1
6034,6120.31,4972.88,9436.58,1.89761,47.7473,6120,2.5,383.15,1
6751,6839.54,4997.46,9498.77,1.90072,47.9833,6840,2.5,383.15,1
7469,7559.58,5015.34,9549.09,1.90398,48.155,7560,2.5,383.15,1
8188,8280.33,5025.08,9589.2,1.90827,48.2484,8280,2.5,383.15,1
8905,8998.88,5031.47,9622.07,1.91238,48.3099,8999,2.5,383.15,1
5394,5400.23,6014.29,7267.17,1.20832,57.7465,5400,0.1,393.15,1
6113,6119.9,6495.2,7845.39,1.20788,62.3639,6120,0.1,393.15,1
6832,6839.59,6940.99,8385.82,1.20816,66.6442,6840,0.1,393.15,1
7552,7560.39,7353.66,8889.16,1.20881,70.6064,7560,0.1,393.15,1
8271,8280.15,7738.84,9361.31,1.20965,74.3048,8280,0.1,393.15,1
8989,8998.91,8101.5,9807.82,1.21062,77.7869,8999,0.1,393.15,1
5391,5400.23,6704.91,8305.71,1.23875,64.3775,5400,0.5,393.15,1
6110,6119.92,7211.71,8839.39,1.2257,69.2435,6120,0.5,393.15,1
6829,6839.68,7672.77,9334.9,1.21663,73.6704,6840,0.5,393.15,1
7549,7560.4,8093.85,9796.05,1.21031,77.7134,7560,0.5,393.15,1
8268,8280.15,8481.94,10226,1.20562,81.4396,8280,0.5,393.15,1
8986,8998.83,8841.09,10628.9,1.20222,84.888,8999,0.5,393.15,1
5386,5399.75,6540.65,9143.03,1.39788,62.8003,5400,0.9,393.15,1
6106,6120.39,7097.97,9615.28,1.35465,68.1514,6120,0.9,393.15,1
6825,6840.1,7596.71,10061.1,1.3244,72.9401,6840,0.9,393.15,1
7544,7559.8,8045.52,10479.3,1.30251,77.2493,7560,0.9,393.15,1
8263,8279.54,8453.88,10872.2,1.28606,81.1702,8280,0.9,393.15,1
8982,8999.24,8830.02,11244.3,1.27341,84.7818,8999,0.9,393.15,1
5379,5399.64,6141.93,10345.7,1.68444,58.972,5400,1.3,393.15,1
6099,6120.27,6785.73,10690.6,1.57546,65.1535,6120,1.3,393.15,1
6818,6839.94,7341.54,11039.9,1.50376,70.4901,6840,1.3,393.15,1
7537,7559.63,7836.03,11391.7,1.45375,75.2379,7560,1.3,393.15,1
8257,8280.34,8279.03,11733.3,1.41723,79.4914,8280,1.3,393.15,1
8975,8999.08,8680.81,12059.5,1.38921,83.3491,8999,1.3,393.15,1
5372,5399.65,6266.09,12016.5,1.9177,60.1641,5400,1.7,393.15,1
6092,6120.3,6247.78,12082.2,1.93383,59.9883,6120,1.7,393.15,1
6811,6839.89,6909.77,12266.3,1.77521,66.3444,6840,1.7,393.15,1
7530,7559.53,7481.13,12503.6,1.67135,71.8303,7560,1.7,393.15,1
8250,8280.23,7977.19,12760,1.59957,76.5932,8280,1.7,393.15,1
8968,8998.91,8422.21,13023.3,1.54631,80.8661,8999,1.7,393.15,1
5369,5399.87,7066.82,13730,1.94288,67.8523,5400,2.1,393.15,1
6088,6119.7,7034.34,13782.9,1.95938,67.5405,6120,2.1,393.15,1
6808,6840.43,6982.1,13816.2,1.97881,67.0389,6840,2.1,393.15,1
7527,7560.12,6938.42,13823.5,1.99231,66.6195,7560,2.1,393.15,1
8246,8279.74,7518.3,13924.9,1.85214,72.1873,8280,2.1,393.15,1
8965,8999.44,8026.12,14082.8,1.75462,77.0631,8999,2.1,393.15,1
5363,5400.48,7821.17,15368.7,1.96501,75.0953,5400,2.5,393.15,1
6082,6120.44,7776.97,15413.1,1.98189,74.6709,6120,2.5,393.15,1
6801,6840.25,7731.37,15418.8,1.99431,74.2331,6840,2.5,393.15,1
7520,7560.05,7665.97,15416.4,2.01102,73.6051,7560,2.5,393.15,1
8239,8279.76,7602.88,15403.9,2.02606,72.9993,8280,2.5,393.15,1
8958,8999.42,7530.42,15378.5,2.04218,72.3036,8999,2.5,393.15,1
5398,5400.12,14545.6,31278.9,2.15041,139.66,5400,0.1,423.15,1
6118,6120.35,14879.2,32720,2.19905,142.863,6120,0.1,423.15,1
6837,6839.62,15155.1,33993.6,2.24304,145.512,6840,0.1,423.15,1
7557,7559.9,15380.4,35123,2.28362,147.675,7560,0.1,423.15,1
8277,8280.22,15561.1,36125.7,2.32155,149.41,8280,0.1,423.15,1
8995,8998.57,15716.4,37027.3,2.35596,150.902,8999,0.1,423.15,1
5398,5400.28,14339.2,26311.5,1.83494,137.678,5400,0.5,423.15,1
6118,6120.49,14665.2,27069,1.84579,140.809,6120,0.5,423.15,1
